id,title,authors,venue,year
63452,utlb : a mechanism for translations on network interface,"y chen , c dubnicki , s damianakis , a bilas , k li",proceedings of acm architectural support for programming,
63453,carbamazepine for schizophrenia and schizoaffective psychoses,"s leucht , j mcgrath , p white , w kissling","cochrane database syst rev ,",2002.0
63454,demystifying assessment : learning from the field of evaluation,bg davis,"new directions for higher education ,",1989.0
63455,"transmembrane topology of sphingoid long-chain base-1-phosphate phosphatase , lcb3p","a kihara , t sano , s iwaki , y igarashi","genes to cells ,",2003.0
63456,a semantics for tracing declarative multi-paradigm programs,"b brassel , m hanus , f huch , g vidal","proceedings of the 6th acm sigplan international conference & hellip ; ,",2004.0
63457,"stochastic consistency , and scalable pull-based caching for erratic data sources","s zhu , c ravishankar","proceedings of the 30th conference on vldb ,",
63458,sendai virus-based expression of hiv-1 gp 120 : reinforcement by the v ( - ) version,"d yu , t shioda , a kato , mk hasan , y sakai , y nagai","genes to cells ,",1997.0
63459,pbd { the key to service robot programming,"h friedrich , m kaiser , ru dillmann",,
63460,a generalized model for a temporal relational database,"s gadia , c yeung","proc . acm sigmod conference , june ,",
63461,tetrahedron lett,"sh jung , jh kim",,
63462,message proxies for efficient,"bh lim , p heidelberger , p pattnaik , m snir","& hellip ; communication on smp clusters , '' ibm almaden research report & hellip ; ,",
63463,reality : a cousin twice removed,b meyer,,
63464,a cognitive ( attribution ) - emotion-action model of helping behaviour : an analysis of judgements of,b weiner,"journal of personality and social psychology ,",
63465,"ã ? . ; srivastava , d. ; tan , m. : semantic data caching and replacement","s dar , mj franklin , b jã ³ nsson","proceedings of 22th international conference on very large & hellip ; ,",
63466,query optimization using horizontal class partitioning in object oriented databases,"l bellatreche , k karlapalem , a simonet",,
63467,using cognitive walkthrough for evaluating a cscw application,"al ereback , k hook",,
63468,impact of the resource needed for renegotiating atm rates,"d denteneer , v pronk , jm griffiths , lg cuthbert","computer networks ,",2000.0
63469,markov processes and martin boundaries,"h kunita , t watanabe","i. illinois j. math ,",
63470,biometricsâ ?? real identities for a virtual world,m rejman-greene,"bt technology journal ,",2001.0
63471,a non-stop kernel,j bartlettâ ? ¦,,
63472,damping measurement by dynamic stiffness methods,"dig jones , a muszynska","vibration damping 1984 workshop proceedings 25 p ( see n 86 - & hellip ; ,",1984.0
63473,how to give a good research talk,"s jones , j hughes , j launchbury","acm sigplan notices ,",1993.0
63474,"practical parallel algorithms for personalized communication and integer sorting , university of","da bader , dr helman , j jã ¡ jã ¡","md ,",
63475,a framework for providing consistent and recoverable agent-based access to heterogeneous mobile,"e pitoura , b bhargava",,
63476,a file transfer protocol ( ftp ),m gien,"computer networks ,",
63477,bromocriptine/levodopa combined versus levodopa alone for early parkinson 's disease,"c ramaker , jj hilten","cochrane database syst rev ,",2002.0
63478,urban waterfront evolution,c minca,"geography ,",1995.0
63479,influence of soil moisture and temperature on the persistence of pseudomonas solanacearum,eb akiew,"see ref ,",
63480,"the use of mmr , dirversity-based reranking for recording documents and producing summaries","j carbonell , j goldsdein",proceedings of,
63481,"document : forme , signe et mã © dium , les re-formulations du numã © rique",rt pã © dauque,"unpublished manuscript ,",
63482,automatic velocity dealiasing for real-time application,mw merrit,"& hellip ; , 22nd conference on radar meteorology . zurich , switzerland , & hellip ; ,",
63483,multidimensional data modeling for location-based services,"cs jensen , a kligys , tb pedersen , i timko","the vldb journal the international journal on very large & hellip ; ,",2004.0
63484,the parlay network api specification,"mj yates , i boyd","bt technology journal ,",2000.0
63485,microsoft project 2000 step by step,cs chatfield,,2000.0
63486,incremental maintenance for non-distributive aggregate functions,"t palpanas , r sidle , r cochrane , h pirahesh","vldb ,",2002.0
63487,globalizing resistance : the battle of seattle and the future of social movements,j smith,,
63488,pervasive home environments,"p bull , r limb , r payne","bt technology journal ,",2004.0
63489,prediction of knock onset and the autoignition site in spark-ignition engines,"y lee , s pae , k min , es kim","proceedings-institution of mechanical engineers part d & hellip ; ,",2000.0
63490,treppenschussrinnen .,d schlã $ pfer,,2000.0
63491,anti-correlation : a diversity promoting mechanisms in ensemble learning,"r mckay , ha abbass","& hellip ; journal of intelligent information processing systems ,",
63492,mindreader : querying databases through multiple examples,"y ishikawa , r subramanya , c faloutsos","proceedings of the international conference on very large & hellip ; ,",1998.0
63493,genetics,i kornfield,"see ref ,",
63494,yangy ( 1997 ) association rules over interval data,rj miller,proc . acm sigmod international conference on management of,
63495,continuing education meetings and workshops : effects on professional practice and health care,"toâ ?? brien , n freemantle , ad oxman , f wolf , da","cochrane database syst rev ,",2001.0
63496,an information-task approach to organizational communication,ms poole,"the academy of management review ,",1978.0
63497,"mineral book-keeping , new manure legislation in the netherlands",pjl derikx,,
63498,what constitutes ( a good ) definition ? the case of a square,"k shir , o zaslavsky","proceedings of the 25 thconference of the international & hellip ; ,",
63499,video rental king loads in automation,p keefe,"computerworld ,",
63500,"borel sets and circuit complexity , inproc . 15thannualacm symposiumontheory of computing",m sipser,,1983.0
63501,social studies and effective stories .,"im barr , me mcguire","social studies and the young learner ,",1993.0
63502,targeting new markets .,ca green,"new directions for higher education ,",1990.0
63503,management turnover through deaths of key executives : effects on investor wealth,"dl worrell , wnd iii , pr chandy , sl garrison","the academy of management journal ,",1986.0
63504,what 's ahead for social studies ? perspectives .,mc mckinney-browningâ ? ¦,"social studies and the young learner ,",1994.0
63505,introduction to mathematical logic . 1944,a church,,
63506,digital library projects : where they are now - part one,b jeapes,"electronic library ,",1995.0
63507,principles of a computer immune system,"a somayaji , s hofmeyr , s forrest",,
63508,probiotics : from myth to reality,"c dunne , l murphy , s flynn , loâ ?? mahony , doâ ??","demonstration of functionality in animal models of disease & hellip ; ,",
63509,critical video quality for distributed automated video surveillance,"p korshunov , wt ooi","proceedings of the 13th annual acm international conference & hellip ; ,",2005.0
63510,constitution and microstructure of rapidly solidified aluminum-germanium alloys,"p ramachandrarao , mg scott , g chadwick","phil . mag. ,",1972.0
63511,integrating the control systems .,rp lisensky,"new directions for higher education ,",1988.0
63512,global self-evaluation as determined by the desirability and controllability of trait adjectives,md alicke,"journal of personality and social psychology ,",1985.0
63513,recombination radiation in the fractional quantum hall effect regime ( abstract only ),"t chakraborty , p pietilainen","oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0
63514,resilient rights protection for sensor streams,"r sion , m atallah , s prabhakar","proceedings of the international conference on very large & hellip ; ,",2004.0
63515,prejudice and perception : the role of automatic and controlled processes in misperceiving a weapon,bk payne,"journal of personality and social psychology ,",2001.0
63516,a training needs assessment for the united way of dunn county wisconsin,sd mcclelland,,2002.0
63517,role of nutritional supplements in bovine lameness-review of nutritional toxicities,"m smart , nf cymbaluk","to ,",
63518,"the republic reborn : war and making of liberal america , 1790â ?? 1820 ( baltimore : johns hopkins",s watts,,
63519,applying database technology in the adsm mass storage system,"lf cabrera , r rees , w hineman","proceedings of the international conference on very large & hellip ; ,",1995.0
63520,a wagner-meerwein rearrangement as intermediate step in the formation of dihydroindolones from 2 -,"g himbert , m ruppmich","acc . chem . res ,",1988.0
63521,moving work teams to the next level,b simpson,,
63522,critical pathways in the emergency department,ms nelson,"journal of emergency nursing ,",1993.0
63523,the reflexive chemical abstract machine and the join-calculus,"c fournet , g gonthier","proceedings of popl ,",
63524,ease of retrieval as information : another look at the availability heuristic,"n schwarz , h bless , f strack , g klumpp , h","journal of personality and social psychology ,",
63525,a small set of formal topological relationships suitable for end-user interaction,"e clementini , p di felice , p van oosterom","lecture notes in computer science ,",1993.0
63526,a comparative survey of alternative middle tier caching solutions to support dynamic web content,"a datta , k dutta , h thomas , d vandermeer , k","proceedings of the 27th international conference on very & hellip ; ,",
